,element,GW,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_missed,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,value,total_points,threshold
118,109,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,0,0
119,109,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,48,0,0
120,110,1,90,1,0,0,1,0,0,0,0,0,25,51.8,0.2,17.0,6.9,50,8,1
121,110,2,90,0,0,0,2,0,0,0,0,0,16,18.4,0.2,17.0,3.6,50,1,0
122,110,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
123,111,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
124,111,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
125,111,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,0,0
126,116,1,90,0,0,0,1,0,0,0,0,0,14,17.8,0.7,2.0,2.1,50,2,0
128,116,3,90,0,0,0,3,0,0,1,0,0,11,17.2,2.8,0.0,2.0,50,0,0
129,121,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
130,121,2,45,0,0,0,2,0,0,0,0,0,8,26.6,0.1,0.0,2.7,50,0,0
131,121,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,0,0
132,123,1,90,1,1,0,1,0,0,0,0,3,44,76.8,30.3,11.0,11.8,50,14,1
133,123,2,90,0,0,0,2,0,0,0,0,0,15,24.8,5.0,2.0,3.2,50,1,0
134,123,3,90,0,0,0,3,0,0,1,0,1,27,36.8,89.7,4.0,13.1,51,1,0
135,232,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
136,232,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
137,232,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
138,490,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
139,490,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
140,490,3,72,0,0,0,3,0,0,0,0,0,11,10.6,2.9,0.0,1.4,55,1,0
141,125,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
142,125,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
143,125,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
144,127,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
145,127,2,90,0,0,0,1,0,0,0,0,0,12,17.2,0.8,0.0,1.8,45,2,0
146,127,3,90,0,0,0,2,0,0,0,0,0,12,11.2,0.3,2.0,1.4,45,1,0
147,129,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
148,129,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
149,129,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
150,134,1,90,0,0,1,0,0,0,0,0,0,22,13.2,0.7,0.0,1.4,45,6,1
151,134,2,90,0,0,0,1,0,0,1,0,0,9,28.2,11.2,0.0,3.9,45,1,0
152,134,3,90,0,0,0,2,0,0,1,0,0,1,1.4,1.6,0.0,0.3,45,0,0
153,135,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
154,135,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
155,135,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,0,0
156,139,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
157,139,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
158,139,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
159,145,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
160,145,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
161,145,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
162,146,1,90,0,0,1,0,0,0,0,0,0,23,17.6,0.7,0.0,1.8,40,6,1
163,146,2,90,0,1,0,1,0,0,0,0,0,16,12.0,1.2,0.0,1.3,40,5,0
164,146,3,90,0,0,0,2,0,0,0,0,0,10,21.6,6.9,2.0,3.1,41,1,0
165,486,1,90,0,0,1,0,0,0,0,0,1,24,15.6,0.4,8.0,2.4,45,7,1
166,486,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
167,486,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
168,522,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
169,522,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
170,522,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
171,534,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
172,534,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
173,152,1,90,0,0,1,0,0,0,0,0,0,28,24.0,12.1,7.0,4.3,50,6,1
174,152,2,90,0,0,0,2,0,0,0,0,0,14,12.0,4.6,6.0,2.3,50,1,0
175,152,3,90,0,1,0,1,0,0,0,0,1,22,36.2,11.3,2.0,5.0,50,6,1
176,155,1,90,0,1,1,0,0,0,0,0,3,38,40.8,19.9,0.0,6.1,60,12,1
177,155,2,90,0,0,0,2,0,0,0,0,0,19,21.8,75.5,12.0,10.9,61,1,0
178,155,3,90,0,1,0,1,0,0,0,0,1,22,26.8,17.3,12.0,5.6,61,6,1
179,156,1,90,0,0,1,0,0,0,0,0,0,29,25.8,0.1,0.0,2.6,50,6,1
180,156,2,90,1,0,0,2,0,0,0,0,0,28,49.6,11.0,41.0,10.2,50,7,1
181,156,3,90,0,0,0,1,0,0,0,0,0,15,15.4,0.4,2.0,1.8,50,2,0
182,160,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
183,160,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
184,160,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,0,0
185,162,1,90,0,0,1,0,0,0,0,0,0,27,23.2,0.4,1.0,2.5,55,6,1
186,162,2,90,0,0,0,2,0,0,0,0,0,17,25.2,1.5,2.0,2.9,55,1,0
187,162,3,90,0,0,0,1,0,0,0,0,0,15,17.0,0.3,0.0,1.7,55,2,0
188,165,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
189,165,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
190,165,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,49,0,0
191,170,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
192,170,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
193,170,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,40,0,0
194,173,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
195,173,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
196,173,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,44,0,0
