,element,GW,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_missed,yellow_cards,red_cards,bonus,bps,influence,creativity,threat,ict_index,value,total_points,threshold
91,80,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
92,80,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
93,80,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,54,0,0
94,550,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
95,55,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
96,55,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
97,55,3,90,0,0,0,1,0,0,0,0,0,9,15.6,3.9,12.0,3.2,45,2,0
98,84,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
99,84,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
100,89,2,90,0,0,0,4,0,0,0,0,0,12,7.6,25.3,0.0,3.3,55,2,0
101,89,3,90,0,0,0,1,0,0,0,0,0,12,10.0,24.8,0.0,3.5,55,2,0
102,90,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
103,90,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
104,95,2,39,0,0,0,1,0,0,0,0,0,4,7.2,0.3,17.0,2.5,50,1,0
105,95,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,50,0,0
106,98,2,90,0,0,0,4,0,0,0,0,0,11,10.4,23.2,9.0,4.3,50,2,0
107,98,3,90,0,0,0,1,0,0,0,0,0,8,9.2,9.7,36.0,5.5,50,2,0
108,100,2,90,0,1,0,4,0,0,0,0,0,19,23.2,29.8,0.0,5.3,60,5,0
109,100,3,90,0,0,0,1,0,0,0,0,0,12,15.2,14.4,4.0,3.4,60,2,0
110,535,2,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
111,535,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
112,551,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,45,0,0
113,105,1,84,1,1,0,1,0,0,0,0,2,43,60.8,23.2,17.0,10.1,50,12,1
114,105,2,78,0,0,0,2,0,1,0,0,0,0,14.4,1.6,19.0,3.5,50,0,0
115,105,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,51,0,0
116,106,1,29,0,0,0,0,0,0,0,0,0,1,4.2,11.8,7.0,2.3,60,1,0
117,106,2,11,0,0,0,0,0,0,0,0,0,4,1.2,0.0,0.0,0.1,60,1,0
118,106,3,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,59,0,0
119,107,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,55,0,0
120,107,2,78,0,0,0,2,0,0,0,0,0,12,2.8,7.8,0.0,1.1,55,2,0
121,107,3,45,0,0,0,3,0,0,0,0,0,9,5.6,2.8,1.0,0.9,55,1,0
122,113,1,90,0,0,0,1,0,0,0,0,0,19,17.2,2.8,4.0,2.4,50,2,0
